gene_id	gene_name	group	n_variants	p_unified
ENSG00000000419	DPM1	DEE	58	0.13771325059611247
ENSG00000000419	DPM1	EPI	77	0.0164239793783691
ENSG00000000419	DPM1	GGE	66	0.03769985552813011
ENSG00000000419	DPM1	NAFE	62	0.03896075171826242
ENSG00000000457	SCYL3	DEE	138	0.09705411463532918
ENSG00000000457	SCYL3	EPI	181	0.8979195168470391
ENSG00000000457	SCYL3	GGE	145	0.18617631920713912
ENSG00000000457	SCYL3	NAFE	152	0.6271394276505402
ENSG00000000460	C1orf112	DEE	139	0.8485731618099455
ENSG00000000460	C1orf112	EPI	183	0.025409788733068706
ENSG00000000460	C1orf112	GGE	150	0.6534644346680354
ENSG00000000460	C1orf112	NAFE	154	0.014665513660370798
ENSG00000000938	FGR	DEE	76	0.11050495529149958
ENSG00000000938	FGR	EPI	109	0.7256093032566645
ENSG00000000938	FGR	GGE	82	0.4980994873005191
ENSG00000000938	FGR	NAFE	95	0.6829373900628841
ENSG00000000971	CFH	DEE	254	0.04091414010594073
ENSG00000000971	CFH	EPI	332	0.7417866516562506
ENSG00000000971	CFH	GGE	256	0.7760980658829961
ENSG00000000971	CFH	NAFE	285	0.3287150085179127
ENSG00000001036	FUCA2	DEE	102	0.13564189011704406
ENSG00000001036	FUCA2	EPI	136	0.7422863751632318
ENSG00000001036	FUCA2	GGE	107	0.37735612935835594
ENSG00000001036	FUCA2	NAFE	125	0.7187024043865491
ENSG00000001084	GCLC	DEE	56	0.577997706701558
ENSG00000001084	GCLC	EPI	75	0.31299703340865065
ENSG00000001084	GCLC	GGE	53	0.0066121273661372245
ENSG00000001084	GCLC	NAFE	61	0.35374730304071283
ENSG00000001167	NFYA	DEE	27	0.8860117196488646
ENSG00000001167	NFYA	EPI	37	0.6944163807931583
ENSG00000001167	NFYA	GGE	25	0.9999227265064226
ENSG00000001167	NFYA	NAFE	33	0.84325033412798
ENSG00000001460	STPG1	DEE	84	0.9151061370880873
ENSG00000001460	STPG1	EPI	108	0.7194062721013543
ENSG00000001460	STPG1	GGE	88	0.9738692737618713
ENSG00000001460	STPG1	NAFE	99	0.9189658736734609
ENSG00000001461	NIPAL3	DEE	92	0.9746732002337832
ENSG00000001461	NIPAL3	EPI	113	0.3507573843873095
ENSG00000001461	NIPAL3	GGE	94	0.6398382600524066
ENSG00000001461	NIPAL3	NAFE	104	0.7026932112341184
ENSG00000001561	ENPP4	DEE	92	0.5912409751185554
ENSG00000001561	ENPP4	EPI	128	0.4158930637842826
ENSG00000001561	ENPP4	GGE	101	0.16093108151012295
ENSG00000001561	ENPP4	NAFE	109	0.09391042525330527
ENSG00000001617	SEMA3F	DEE	180	0.1022875346088114
ENSG00000001617	SEMA3F	EPI	238	0.8705090738442924
ENSG00000001617	SEMA3F	GGE	192	0.6080537713307496
ENSG00000001617	SEMA3F	NAFE	198	0.5820933351451298
ENSG00000001626	CFTR	DEE	362	0.9287739103963523
ENSG00000001626	CFTR	EPI	456	0.6565313161522354
ENSG00000001626	CFTR	GGE	376	0.9999880471728044
ENSG00000001626	CFTR	NAFE	393	0.617696318556439
ENSG00000001629	ANKIB1	DEE	155	0.2943596054037976
ENSG00000001629	ANKIB1	EPI	202	0.5116719792789479
ENSG00000001629	ANKIB1	GGE	165	0.13676486325439044
ENSG00000001629	ANKIB1	NAFE	171	0.4753702670874079
ENSG00000001630	CYP51A1	DEE	68	0.7194555402656482
